Date,Type,Link
2025-07-14 18:44:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7350464171492151296
2025-07-14 17:54:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7322772097066266626
2025-07-14 17:37:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7350444246128046081
2025-07-13 21:43:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7349059828884873216
2025-07-13 13:05:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7348867306250227712
2025-07-13 09:35:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7349670796849516544
2025-07-13 08:05:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7348525673918988288
2025-07-12 20:03:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7349784619145129985
2025-07-12 11:28:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7349392021859569664
2025-07-11 07:20:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7345780659489009666
2025-07-11 07:18:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7344057110390845441
2025-07-11 07:14:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7346927021748305920?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7346927021748305920%2C7348550891328716800%29
2025-07-11 07:13:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7349037191957725185
2025-07-11 07:12:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7349086657364537346
2025-07-09 07:49:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7339192734303281152
2025-07-08 21:33:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7348398900346589185
2025-07-07 13:36:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7344634350119915536
2025-07-07 13:25:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7346807111307120640?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7346807111307120640%2C7347896440959971328%29
2025-07-07 13:25:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7346807111307120640?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7346807111307120640%2C7347825809815982082%29
2025-07-06 21:15:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7347625130895798272?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7347625130895798272%2C7347681152825995265%29
2025-07-06 21:15:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7347625130895798272?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7347625130895798272%2C7347631016435437568%29
2025-07-06 21:14:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7347625130895798272
2025-07-06 21:14:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7347640482606329857
2025-07-03 13:19:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7346051304630181888?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7346051304630181888%2C7346281094549331968%29
2025-07-03 13:19:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7346051304630181888
2025-07-02 14:11:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7345518095882481664
2025-07-01 19:17:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7345376762459029505
2025-07-01 18:41:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7345877101356433410
2025-06-30 18:07:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7345508627404800001
2025-06-30 14:33:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7345104233697841152
2025-06-30 14:04:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7336505029178056706
2025-06-29 22:44:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7345177469710147584
2025-06-29 22:44:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7345177469710147584?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7345177469710147584%2C7345179454236692480%29
2025-06-29 09:15:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A10063174-7344840893222273024
2025-06-28 21:52:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7344411241685086208?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7344411241685086208%2C7344755934293856258%29
2025-06-26 12:06:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7343717089792155649
2025-06-25 18:43:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7343701397189599232
2025-06-22 16:19:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7341153778290597890?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7341153778290597890%2C7341183588782043139%29
2025-06-22 16:18:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7342565400351514624
2025-06-22 06:36:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7342294683747844096
2025-06-22 06:35:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7342438488459370496
2025-06-20 21:10:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340710636361801729
2025-06-20 21:09:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7338327747066253312
2025-06-20 16:17:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7341851060682035201
2025-06-20 13:41:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7341777113751945216
2025-06-18 05:46:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340324108624146432
2025-06-18 05:20:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340960303720894464
2025-06-18 05:18:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340857560536666112
2025-06-17 20:49:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340827655413383168
2025-06-16 18:18:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340386254418550791
2025-06-16 06:13:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7338214813975670786
2025-06-16 06:12:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340142605361434624
2025-06-15 10:10:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7339594900402802688
2025-06-14 11:36:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7339270835494379520
2025-06-12 10:17:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7338196125448916992
2025-06-12 08:38:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7338581914888425472
2025-06-10 10:51:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7337943469912412161
2025-06-10 04:58:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7337742441157922816
2025-06-08 15:26:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7337056003923828736
2025-06-08 05:46:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7337202345652457472
2025-06-07 22:13:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7336349834439806976?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7336349834439806976%2C7337203863369764864%29
2025-06-06 17:16:22,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7327420620810407936
2025-06-03 11:01:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7334072094793650176
2025-06-02 15:09:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7335202239470297088
2025-05-31 21:35:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7334627979165130752?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7334627979165130752%2C7334689908231442432%29
2025-05-31 06:47:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7334141893687078913
2025-05-31 06:41:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7333976753465446400
2025-05-31 06:37:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7334276434540089344
2025-05-31 06:34:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7333446088432971777?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7333446088432971777%2C7333676386181672960%29
2025-05-30 14:49:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7334217070579998721
2025-05-30 13:24:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7333462618612903936?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7333462618612903936%2C7333472095533723649%29
2025-05-30 13:23:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7334206228874616833
2025-05-30 06:33:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7333474238529523714
2025-05-30 06:32:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7332771237745627137
2025-05-30 06:11:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7333963128663113728
2025-05-25 13:02:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7330274060465037312
2025-05-22 20:33:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7331233466979618816
2025-05-06 06:01:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7325263529756782593
2025-05-02 09:26:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7323936345385517057
2025-05-02 09:22:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7323735896673902593
2025-05-01 13:43:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7323653666811404288
2025-05-01 13:42:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7322972007397052416
2025-04-29 14:30:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7322898984191049729
2025-04-26 21:17:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7321925239330746368
2025-04-26 09:11:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7317803928694280192
2025-04-24 22:18:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7321103118518124544
2025-04-24 22:14:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7321191526535970816
2025-04-24 09:30:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7318705646357438465
2025-04-23 15:26:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7316158160564633601
2025-04-18 10:53:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7318253870667714562
